Film Name,Rating,Genre
The Dark Knight: The Ballad of the N Word,9.3,"Comedy, Drama"
The Dark Knight,9,"Action, Crime, Drama"
Batman: The Dark Knight Returns,8.7,"Animation, Action, Adventure"
The Dark Knight Rises,8.4,"Action, Adventure"
"Batman: The Dark Knight Returns, Part 2",8.4,"Animation, Action, Crime"
Batman: The Dark Knight,8.3,"Short, Action, Adventure"
The Fire Rises: The Creation and Impact of the Dark Knight Trilogy,8.1,Documentary
"Batman: The Dark Knight Returns, Part 1",8,"Animation, Action, Crime"
The Dark Knight Rises,8,"Action, Adventure, Crime"
Sinbad: The Battle of the Dark Knights,2.3,"Adventure, Fantasy"
The Dark Knight,2.1,"Action, Fantasy"
